행정구역,시군구,면적,인구수,남자,여자,유소년,생산가능인구,고령인구,외국인,외국인(남),외국인(여),인구밀도,인구증가율
경기도,고양시,268.08,1079216,528094,551259,128185,797034,154134,10986,5403,5583,4026.23,0.01
경기도,과천시,35.87,63231,36092,37253,10003,52984,10358,183,104,79,2044.74,16
경기도,구리시,33.33,197454,95172,96776,22456,141672,27820,1403,680,723,5759.02,-2.79
경기도,남양주시,458.14,713321,365103,368695,104442,521071,108285,7058,4017,3041,1601.69,2.87
경기도,오산시,42.71,229725,119409,110574,34962,171432,23589,8596,4344,4252,5384.76,0.11
경기도,시흥시,139.68,500895,267423,244607,73656,387459,50915,31523,18554,12969,3665.74,2.22
경기도,군포시,36.42,273791,133246,135289,30948,199291,38296,5565,2754,2811,7373.28,-1.92
경기도,의왕시,54.03,163795,81148,82208,19532,120180,23644,1007,468,539,3023.43,-0.27
경기도,하남시,92.99,293452,160163,159924,48836,229711,41540,2184,1116,1068,3442.17,9.08
경기도,용인시,591.24,1074176,534459,543049,157005,770240,150263,16157,9120,7037,1822.45,0.31
경기도,파주시,673.86,465617,245085,238160,69906,344255,69084,10258,7146,3112,717.13,3.79
경기도,이천시,461.47,218388,115727,107450,28981,161162,33034,6677,3997,2680,483.62,2.19
경기도,안성시,553.46,187012,97895,91639,22168,132737,34629,10874,6933,3941,342.45,1.35
경기도,김포시,276.6,473970,243415,243093,81971,341757,62780,17759,13227,4532,1758.89,2.65
경기도,화성시,699.41,855248,460788,426227,157968,646577,82470,35077,24541,10536,1268.23,3.71
경기도,광주시,430.99,382054,197673,189616,50862,281099,55328,10936,7259,3677,898.6,1.37
경기도,양주시,310.43,230359,119835,116533,32048,165284,39036,6703,4894,1809,761.42,2.61
경기도,포천시,826.98,147274,78915,70024,13630,104229,31080,11270,8575,2695,180.1,1.13
경기도,여주시,608.33,111897,57022,55128,11532,74764,25854,3167,1970,1197,184.36,0.23
경기도,연천군,676.21,43516,22399,20322,4023,26884,11814,832,595,237,63.18,-1.83
경기도,가평군,843.58,62377,32129,30135,5310,39919,17035,1004,419,585,73.81,-0.18
경기도,양평군,877.79,118810,60846,60384,12076,76779,32375,1309,605,704,138.11,2.04
강원특별자치도,춘천시,1116.42,282765,140584,144010,33985,197654,52955,3726,1970,1756,254.92,0.65
강원특별자치도,원주시,868.25,354376,177396,180361,45350,255636,56771,3299,1660,1639,412.04,0.95
강원특별자치도,강릉시,1040.75,213321,105667,107298,21690,143957,47318,2357,1217,1140,204.63,-0.17
강원특별자치도,동해시,180.3,90593,45795,44286,10469,60573,19039,728,400,328,499.6,-0.57
강원특별자치도,태백시,303.45,42719,20656,20188,4138,25904,10802,249,72,177,134.6,-4.39
강원특별자치도,속초시,105.76,82665,41080,41711,9147,56971,16673,1034,641,393,782.82,0.15
강원특별자치도,삼척시,1187.81,65243,32043,31386,5825,40720,16884,635,389,246,53.4,-2.78
강원특별자치도,홍천군,1820.52,69242,35184,33181,5905,43374,19086,753,418,335,37.55,-1.27
강원특별자치도,횡성군,998,46472,23859,22622,3564,28464,14453,682,388,294,46.57,0.02
강원특별자치도,영월군,1127.31,38662,19626,18278,2697,23472,11735,245,102,143,33.62,-1.96
강원특별자치도,평창군,1463.95,41681,21091,19905,3010,25693,12293,464,217,247,28,-1.64
강원특별자치도,정선군,1219.86,36870,18565,17110,2837,22415,10423,264,83,181,29.25,-3.24
강원특별자치도,철원군,889.69,44699,22453,20887,4867,28155,10318,610,367,243,48.71,-3.04
강원특별자치도,화천군,909.08,24857,13138,11057,2537,15931,5727,230,103,127,26.61,-2.66
강원특별자치도,양구군,704.25,22278,11464,10284,2498,14357,4893,331,191,140,30.88,-2.38
강원특별자치도,인제군,1646.08,31694,17461,14704,3633,21633,6899,311,150,161,19.54,1.49
강원특별자치도,고성군,664.09,26757,14019,13230,2090,16923,8236,1183,889,294,41.03,1.84
강원특별자치도,양양군,629.69,27946,14251,13662,2124,17118,8671,283,154,129,44.33,-0.12
충청북도,청주시,940.99,844993,427881,420601,114114,614501,119867,12349,6483,5866,901.69,0.41
충청북도,충주시,983.62,210186,105932,103426,23048,142515,43795,4525,2863,1662,212.84,-0.39
충청북도,제천시,882.77,133018,66170,65421,13689,87270,30632,1500,725,775,149.07,-1.07
충청북도,보은군,584.14,32412,16074,15804,2302,18070,11506,504,255,249,54.57,-1.65
충청북도,옥천군,537.28,50527,25242,24851,4301,30211,15581,680,415,265,93.23,-0.86
충청북도,영동군,846.64,47475,22810,22963,3602,26876,15295,801,484,317,54.06,-3.59
충청북도,증평군,81.81,36807,18993,17433,4740,24904,6782,845,443,402,445.25,-1.04
충청북도,진천군,407.32,83718,44715,40461,11796,58953,14427,5477,3740,1737,209.11,1.74
충청북도,괴산군,842.07,39393,19612,18510,2185,22375,13562,825,528,297,45.27,-3.23
충청북도,음성군,520.17,93153,48883,43314,9066,62348,20783,8361,6066,2295,177.24,-1.03
충청북도,단양군,780.15,29155,14360,13971,1962,17083,9286,178,69,109,36.31,-2.83
충청남도,천안시,636.09,658808,336612,321874,93400,488996,76090,17944,10123,7821,1035.21,-0.05
충청남도,공주시,864.13,104545,51459,51686,9075,65592,28478,1949,1022,927,119.36,-1.34
충청남도,보령시,586.74,100229,49933,48475,9602,61955,26851,2858,2201,657,167.72,-1.82
충청남도,아산시,542.8,316129,168881,155699,50748,229230,44602,16373,9625,6748,597.97,2.67
충청남도,서산시,742.15,175591,92122,84523,23647,119164,33834,3854,2050,1804,238.02,0.6
충청남도,논산시,556.2,116675,57147,57336,11359,71341,31783,3701,1928,1773,205.83,-1.88
충청남도,계룡시,60.7,42822,21563,21768,6709,31116,5506,191,95,96,713.86,1.19
충청남도,당진시,705.48,166249,88952,78140,23221,111354,32517,5112,3244,1868,236.85,0.51
충청남도,금산군,577.13,51413,25466,25011,4389,29581,16507,1945,1020,925,87.46,-1.82
충청남도,부여군,624.62,65354,31634,32140,4696,35879,23199,1119,608,511,102.1,-2.42
충청남도,서천군,366.13,51866,25081,25664,3676,27754,19315,1270,966,304,138.6,-2.16
충청남도,청양군,479.11,30948,15472,14968,2056,17092,11292,622,342,280,63.53,-1.64
충청남도,홍성군,446.69,100102,49437,49887,12218,62503,24603,2255,1469,786,222.36,-0.78
충청남도,예산군,542.66,78084,38574,38227,5914,45625,25262,2004,1381,623,141.53,-1.64
충청남도,태안군,515.96,62214,31033,30493,4862,36524,20140,1381,989,392,119.25,-1.11
전라북도,전주시,206,657432,323427,333842,86089,468195,102985,15728,6980,8748,3190.63,-0.02
